Brand	Series	Model	Description
HP	Designjet 5000ps UV	C4964A	HP DesignJet 83 Light Cyan UV Printhead and Cleaner (C4964A)
HP	Designjet 5000ps UV	C4962A	HP DesignJet 83 Magenta UV Printhead and Cleaner (C4962A)
HP	Designjet 5000ps UV	C4941A	HP DesignJet 83 Cyan UV Ink Cartridge (C4941A)
HP	Designjet 5000ps UV	C4945A	HP DesignJet 83 Light Magenta UV Ink Cartridge (C4945A)
HP	Designjet 5000ps UV	C4963A	HP DesignJet 83 Yellow UV Printhead and Cleaner (C4963A)
HP	Designjet 5000ps UV	C4960A	HP DesignJet 83 Black UV Printhead and Cleaner (C4960A)
HP	DesignJet 500ps	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	DesignJet 500ps	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	DesignJet 500ps	C4810A	HP 11 Black Original Printhead (C4810A)
HP	DesignJet 500ps	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	DesignJet 500ps	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	DesignJet 500ps	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	DesignJet 500ps	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	DesignJet 500ps	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	DesignJet 500ps	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	DesignJet 500ps	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	DesignJet 500ps	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	DesignJet 500ps	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	DesignJet 500ps	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 500ps Plus 24-in	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 500ps Plus 24-in	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	Designjet 500ps Plus 24-in	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 500ps Plus 24-in	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 500ps Plus 24-in	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 500ps Plus 24-in	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 500ps Plus 24-in	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 500ps Plus 24-in	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 500ps Plus 24-in	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 500ps Plus 24-in	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 500ps Plus 24-in	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 500ps Plus 24-in	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 500ps Plus 24-in	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 50ps	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 50ps	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 50ps	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 50ps	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 50ps	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 50ps	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 50ps	C5018A	HP 84 Light Magenta Ink Cartridge (C5018A)
HP	Designjet 510 24-in	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 510 24-in	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 510 24-in	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 510 24-in	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 510 24-in	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 510 24-in	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 510 24-in	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 510 24-in	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 510 24-in	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 510 24-in	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 510 24-in	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 510 24-in	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 510ps 24-in	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 510ps 24-in	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 510ps 24-in	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 510ps 24-in	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 510ps 24-in	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 510ps 24-in	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 510ps 24-in	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 510ps 24-in	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 510ps 24-in	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 510ps 24-in	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 510ps 24-in	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 510ps 24-in	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	DesignJet 5500 Dye	C4932A	HP DesignJet 81 Magenta Dye Ink Cartridge (C4932A)
HP	DesignJet 5500 Dye	C4935A	HP DesignJet 81 Light Magenta Ink Cartridge (C4935A)
HP	DesignJet 5500 Dye	C4933A	HP DesignJet 81 Yellow Dye Ink Cartridge (C4933A)
HP	DesignJet 5500 Dye	C4951A	HP DesignJet 81 Cyan Dye Printhead and Cleaner (C4951A)
HP	DesignJet 5500 Dye	C4953A	HP DesignJet 81 Yellow Dye Printhead and Cleaner (C4953A)
HP	DesignJet 5500 Dye	C4950A	HP DesignJet 81 Black Dye Printhead and Cleaner (C4950A)
HP	DesignJet 5500 Dye	C4955A	HP DesignJet 81 Light Magenta Dye Printhead and Cleaner (C4955A)
HP	DesignJet 5500 Dye	C4954A	HP DesignJet 81 Light Cyan Dye Printhead and Cleaner (C4954A)
HP	DesignJet 5500 Dye	C4952A	HP DesignJet 81 Magenta Dye Printhead and Cleaner (C4952A)
HP	DesignJet 5500 Dye	C4934A	HP DesignJet 81 Light Cyan Dye Ink Cartridge (C4934A)
HP	DesignJet 5500 Dye	C4930A	HP DesignJet 81 Black Dye Ink Cartridge (C4930A)
HP	DesignJet 5500 Dye	C4931A	HP DesignJet 81 Cyan Dye Ink Cartridge (C4931A)
HP	DesignJet 5500ps Dye	C4932A	HP DesignJet 81 Magenta Dye Ink Cartridge (C4932A)
HP	DesignJet 5500ps Dye	C4935A	HP DesignJet 81 Light Magenta Ink Cartridge (C4935A)
HP	DesignJet 5500ps Dye	C4933A	HP DesignJet 81 Yellow Dye Ink Cartridge (C4933A)
HP	DesignJet 5500ps Dye	C4951A	HP DesignJet 81 Cyan Dye Printhead and Cleaner (C4951A)
HP	DesignJet 5500ps Dye	C4953A	HP DesignJet 81 Yellow Dye Printhead and Cleaner (C4953A)
HP	DesignJet 5500ps Dye	C4950A	HP DesignJet 81 Black Dye Printhead and Cleaner (C4950A)
HP	DesignJet 5500ps Dye	C4955A	HP DesignJet 81 Light Magenta Dye Printhead and Cleaner (C4955A)
HP	DesignJet 5500ps Dye	C4954A	HP DesignJet 81 Light Cyan Dye Printhead and Cleaner (C4954A)
HP	DesignJet 5500ps Dye	C4952A	HP DesignJet 81 Magenta Dye Printhead and Cleaner (C4952A)
HP	DesignJet 5500ps Dye	C4934A	HP DesignJet 81 Light Cyan Dye Ink Cartridge (C4934A)
HP	DesignJet 5500ps Dye	C4930A	HP DesignJet 81 Black Dye Ink Cartridge (C4930A)
