Brand	Series	Model	Description
HP	DesignJet HD Pro MFP	C9370A	HP C9370A 72 Ink Cartridge, Photo Black, 130mL
HP	DesignJet HD Pro MFP	C9371A	HP C9371A 72 Ink Cartridge, Cyan, 130mL
HP	DesignJet HD Pro MFP	C9390A	HP 70 Light Cyan Ink Cartridge (C9390A)
HP	DesignJet HD Pro MFP	C9455A	HP 70 Light Magenta Ink Cartridge (C9455A)
HP	DesignJet HD Pro MFP	CH575A	HP DesignJet 726 Matte Black Ink Cartridge (CH575A)
HP	DesignJet HD Pro MFP	C9399A	HP C9399A 72 Ink Cartridge, Magenta, 69mL
HP	DesignJet HD Pro MFP	C9401A	HP C9401A 72 Ink Cartridge, Grey, 69mL
HP	DesignJet HD Pro MFP	C9409A	HP 70 Matte Black and Red Printhead (C9409A)
HP	DesignJet HD Pro MFP	C9451A	HP 70 Light Grey Ink Cartridge (C9451A)
HP	DesignJet HD Pro MFP	C9454A	HP 70 Yellow Ink Cartridge (C9454A)
HP	DesignJet HD Pro MFP	C9405A	HP 70 Light Cyan and Light Magenta Ink Printhead (C9405A)
HP	DesignJet HD Pro MFP	C9456A	HP 70 Red Ink Cartridge (C9456A)
HP	DesignJet HD Pro MFP	C9410A	HP 70 Glass Enhancer and Grey Printhead (C9410A)
